CONSECUTIVO;FECHA DE INSCRIPCION;DEPARTAMENTO DE INSCRIPCION;MUNICIPIO DE INSCRIPCION;CODIGO DIVIPOLA DEPARTAMENTO;CODIGO DIVIPOLA MUNICIPIO;NOMBRE DEL ESTABLECIMIENTO;DIRECCION;AREA;CORREO ELECTRONICO;PREPARACION ALIMENTOS;COMEDORES;EXPENDIO ALIMENTOS;GRANDES SUPERFICIES;ENSAMBLE ALIMENTOS;ALMACENAMIENTO;VENTA VIA PUBLICA;EXPENDIO BEBIDAS ALCOHOLICAS;PLAZAS DE MERCADO;EXPENDIO CARNES;LUGAR DE FUNCIONAMIENTO PARA EXPENDIOS Y ALMACENAMIENTO DE CARNES Y PRODUCTOS CARNICOS COMESTIBLES;INSPECCIONADO POR LA ENTIDAD TERRITORIAL DE SALUD;FECHA DE LA ULTIMA INSPECCION;CONCEPTO ANTERIOR;INSCRIPCION VIGENTE
2384;01/26/2022 12:00:00 AM;NORTE DE SANTANDER;PAMPLONA;54;518;RESTAURANTE BAR;CASA DE MERCADO CUBIERTO PAMPLONA;URBANA;parragelvezluisalfonso@gmail.com;Restaurante /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA /;Independiente /;SI;01/26/2022 12:00:00 AM;FAVORABLE CON REQUERIMIENTOS;SI
2404;01/26/2022 12:00:00 AM;NORTE DE SANTANDER;CHINACOTA;54;172;STAR MARKET MS;VEREDA CHITACOMAR;RURAL;marellybl@hotmail.com;NO APLICA;NO APLICA;NO APLICA;Hipermercado / Supermercado /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;SI;01/26/2022 12:00:00 AM;FAVORABLE;SI
2426;01/26/2022 12:00:00 AM;NORTE DE SANTANDER;VILLA DEL ROSARIO;54;874;LA COSTEÑITA KC;CRA 4 # 18-01 MZ K CASA 8 CONJUNTO CERRADO BELLO MONTE;URBANA;kellyjohannacuevas@gmail.com;NO APLICA;NO APLICA;Expendio /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;SI;01/26/2022 12:00:00 AM;FAVORABLE;SI
2429;01/26/2022 12:00:00 AM;NORTE DE SANTANDER;VILLA DEL ROSARIO;54;874;MINIABASTOS Y CHARCUTERIA SANFER PLUS;CRA 6 # 3-59 LA PARADA;URBANA;luymyfernanda@gmail.com;NO APLICA;NO APLICA;Expendio /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;SI;01/26/2022 12:00:00 AM;FAVORABLE;SI
2436;01/26/2022 12:00:00 AM;NORTE DE SANTANDER;PAMPLONA;54;518;MAPY CAROLINA BERBESI ROMERO;CASA DE MERCADO CUBIERTO DE PAMPLONA LOCAL 207;URBANA;mapita261987@gmail.com;Restaurante /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO;1/01/1900 0:00;FAVORABLE CON REQUERIMIENTOS;SI
2442;01/26/2022 12:00:00 AM;NORTE DE SANTANDER;VILLA DEL ROSARIO;54;874;LA COSTEÑITA KC;CAR 4 # 18-01 MZ K CASA 8 CONJUNTO BELLOMONTE;URBANA;kellyjohannacuevas@gmail.com;NO APLICA;NO APLICA;Expendio /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;SI;01/26/2022 12:00:00 AM;FAVORABLE;SI
2386;01/27/2022 12:00:00 AM;NORTE DE SANTANDER;OCANA;54;498;EXPENDIO DE CARNE LA BAHIA;KDX 108-620 VILLA PARAISO;URBANA;lilianaj.r.@gmail.com;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;Expendio Carnes /;Independiente /;NO;1/01/1900 0:00;FAVORABLE CON REQUERIMIENTOS;SI
2425;01/27/2022 12:00:00 AM;NORTE DE SANTANDER;VILLA DEL ROSARIO;54;874;EL TITAN DEL DESCUENTO;CRA 15 # 6-02 LA PARADA;URBANA;salittokitty@hotmail.com;NO APLICA;NO APLICA;NO APLICA;Hipermercado / Supermercado /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;SI;01/27/2022 12:00:00 AM;FAVORABLE;SI
2428;01/27/2022 12:00:00 AM;NORTE DE SANTANDER;VILLA DEL ROSARIO;54;874;TIENDA MIXTA CHENTE;CASA D 2 CONJUNTO YERBABUENA;URBANA;javicasu@hotmail.com;NO APLICA;NO APLICA;Expendio /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;SI;01/27/2022 12:00:00 AM;FAVORABLE;SI
2430;01/27/2022 12:00:00 AM;NORTE DE SANTANDER;VILLA DEL ROSARIO;54;874;FONDA BAR LOS PARCERITOS;CRA 10 # 18-75 SAN JUDAS TADEO;URBANA;maryurisanchez557@gmail.com;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;Sin tipo de establecimiento /;NO APLICA;NO APLICA;NO APLICA;SI;01/27/2022 12:00:00 AM;FAVORABLE;SI
2440;01/27/2022 12:00:00 AM;NORTE DE SANTANDER;VILLA DEL ROSARIO;54;874;EL TITAN DEL DESCUENTO;CRA 15 # 6-02 LA PARADA;URBANA;salittokitty@hotmail.com;NO APLICA;NO APLICA;NO APLICA;Hipermercado / Supermercado /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;SI;01/27/2022 12:00:00 AM;FAVORABLE;SI
2441;01/27/2022 12:00:00 AM;NORTE DE SANTANDER;VILLA DEL ROSARIO;54;874;TIENDA MIXTA CHENTE;CONJUNTO CERRADO YERBABUENA;URBANA;javicasu@hotmail.com;NO APLICA;NO APLICA;Expendio /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;SI;01/27/2022 12:00:00 AM;FAVORABLE;SI
2446;01/27/2022 12:00:00 AM;NORTE DE SANTANDER;VILLA DEL ROSARIO;54;874;FONDA BAR LOS PARCERITOS;CRA 10 # 18-75 SAN JUDAS TADEO;URBANA;maryurisanchez557@gmail.com;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;Sin tipo de establecimiento /;NO APLICA;NO APLICA;NO APLICA;SI;01/27/2022 12:00:00 AM;FAVORABLE;SI
2396;01/28/2022 12:00:00 AM;NORTE DE SANTANDER;LABATECA;54;377;ALCALDIA MUNICIPAL DE LABATECA;CARRERA 3 ENTRE CALLE 8 Y 9 BARRIO OBRERO;URBANA;alcaldia@labateca-nortedesantander.gov.co;NO APLICA;Programas sociales del estado /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA /;NO APLICA;SI;01/28/2022 12:00:00 AM;FAVORABLE CON REQUERIMIENTOS;SI
2431;01/28/2022 12:00:00 AM;NORTE DE SANTANDER;VILLA DEL ROSARIO;54;874;TRANQUILANDIA 24/7;CALLE 6N # 13-35 ANTONIO NARIÑO;URBANA;beltrancharo28@gmail.com;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;Sin tipo de establecimiento /;NO APLICA;NO APLICA;NO APLICA;SI;01/28/2022 12:00:00 AM;FAVORABLE;SI
2433;01/28/2022 12:00:00 AM;NORTE DE SANTANDER;VILLA DEL ROSARIO;54;874;MAXICARNES C.M.K;CALLE 8 # 6-25 BARRIO EL CENTRO;URBANA;carloschuto29@gmail.com;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;Expendio Carnes /;Independiente /;SI;01/28/2022 12:00:00 AM;FAVORABLE;SI
2445;01/28/2022 12:00:00 AM;NORTE DE SANTANDER;VILLA DEL ROSARIO;54;874;TRANQUILANDIA 24/7;CALLE 6N # 13-35 ANTONIO NARIÑO;URBANA;beltrancharo28@gmail.com;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;Sin tipo de establecimiento /;NO APLICA;NO APLICA;NO APLICA;SI;01/28/2022 12:00:00 AM;FAVORABLE;SI
2450;01/28/2022 12:00:00 AM;NORTE DE SANTANDER;VILLA DEL ROSARIO;54;874;MAXICARNES C.M.K;CALLE 8 # 6-25 BARRIO EL CENTRO;URBANA;carloschuto29@gmail.com;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;Expendio Carnes /;Independiente /;SI;01/28/2022 12:00:00 AM;FAVORABLE;SI
2454;2/01/2022 0:00;NORTE DE SANTANDER;LOS PATIOS;54;405;LICORERIA MIS TRES POTRILLOS;AVENIDA 10 39-56 LA SABANA;URBANA;vivian.luismer@gmail.com;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;Sin tipo de establecimiento /;NO APLICA;NO APLICA;NO APLICA;SI;2/01/2022 0:00;FAVORABLE;SI
2474;2/01/2022 0:00;NORTE DE SANTANDER;PAMPLONA;54;518;COOMULTRUP;CARRERA 7 # 3-52 BARRIO HUMILLADERO;URBANA;coomultrup@hotmail.com;NO APLICA;NO APLICA;NO APLICA;Hipermercado / Supermercado /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;SI;11/19/2020 12:00:00 AM;FAVORABLE;SI
2556;2/01/2022 0:00;NORTE DE SANTANDER;PUERTO SANTANDER;54;553;RESTAURANTE ESCOLAR COLEGIO PUERTO SANTANDER;CRR 9 CLL 3 BARRIO BERTRANIA;URBANA;ie.puertosantander@gmail.com;NO APLICA;Programas sociales del estado /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;SI;03/19/2019 12:00:00 AM;FAVORABLE CON REQUERIMIENTOS;SI
2558;2/01/2022 0:00;NORTE DE SANTANDER;PUERTO SANTANDER;54;553;RESTAURANTE ESCOLAR SEDE INTEGRADA PUERTO SANTANDER;CALLE 5 #4-98 BARRIO EL CARMEN;URBANA;ie.puertosantander@gmail.com;NO APLICA;Programas sociales del estado /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;SI;10/29/2019 12:00:00 AM;FAVORABLE CON REQUERIMIENTOS;SI
2560;2/01/2022 0:00;NORTE DE SANTANDER;PUERTO SANTANDER;54;553;RESTAURANTE ESCOLAR SEDE JORGE ELIECER GAITAN;KM 57 VEREDA EL DAVE;RURAL;ie.puertosantander@gmail.com;NO APLICA;Programas sociales del estado /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;SI;03/14/2019 12:00:00 AM;FAVORABLE CON REQUERIMIENTOS;SI
2561;2/01/2022 0:00;NORTE DE SANTANDER;PUERTO SANTANDER;54;553;RESTAURANTE ESCOLAR SEDE MONSEÑOR LEONARDO GOMEZ SERNA;CALLE 1 VIA PRINCIPAL BARRIO BERTRANIA;URBANA;ie.puertosantander@gmail.com;NO APLICA;Programas sociales del estado /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;SI;09/18/2019 12:00:00 AM;FAVORABLE;SI
2563;2/01/2022 0:00;NORTE DE SANTANDER;PUERTO SANTANDER;54;553;RESTAURANTE ESCOLAR SEDE VEGAS DEL PAMPLONITA;VEREDA VEGAS DE PAMPLONITA;RURAL;ie.puertosantander@gmail.com;NO APLICA;Programas sociales del estado /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;SI;03/14/2019 12:00:00 AM;FAVORABLE CON REQUERIMIENTOS;SI
2645;2/02/2022 0:00;NORTE DE SANTANDER;TEORAMA;54;800;TIENDA LA TRECE MORA;CALLE 3 CON CRA 3 # 27;URBANA;no registra;NO APLICA;NO APLICA;Expendio /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA /;Independiente /;NO;1/01/1900 0:00;FAVORABLE CON REQUERIMIENTOS;SI
2468;2/03/2022 0:00;NORTE DE SANTANDER;OCANA;54;498;EXPENDIO DE CARNE SANTA CLARA;SANTA CLARA;URBANA;no tiene;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;Expendio Carnes /;Independiente /;SI;10/20/2020 12:00:00 AM;FAVORABLE;SI
2451;2/07/2022 0:00;NORTE DE SANTANDER;VILLA DEL ROSARIO;54;874;EL RANCHO LLANERODE VILLA;AUTOP INTERNAL # 1E-28 LOCAL 3 LA PARADA;URBANA;yarenydiaz.1309@gmail.com;Restaurante /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;SI;2/07/2022 0:00;FAVORABLE;SI
2548;2/07/2022 0:00;NORTE DE SANTANDER;EL ZULIA;54;261;TIENDAS ARA JERONIMO MARTINS COLOMBIA S.A.S;AV 1 # 5-47 BARRIO EL CENTRO;URBANA;leisby08@gmail.com;NO APLICA;NO APLICA;NO APLICA;Hipermercado / Supermercado /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO;1/01/1900 0:00;FAVORABLE;SI
2453;2/08/2022 0:00;NORTE DE SANTANDER;VILLA DEL ROSARIO;54;874;CLUB DEPORTIVO EL COQUETEO;CRA 13 # 4-38 SAN MARTIN;URBANA;marcelagrajales503@gmail.com;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;Sin tipo de establecimiento /;NO APLICA;NO APLICA;NO APLICA;SI;2/08/2022 0:00;FAVORABLE;SI
2488;2/08/2022 0:00;NORTE DE SANTANDER;LOS PATIOS;54;405;PANADERIA Y PASTELERIA SEMILLA DE DIOS;AV 10 29-62 BRR PATIO CENTRO;URBANA;juanblanco2610@gmail.com;Panadería y/o Pastelería /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;Independiente /;SI;2/08/2022 0:00;FAVORABLE;SI
2643;2/08/2022 0:00;NORTE DE SANTANDER;TEORAMA;54;800;CDI SUEÑOS INFANTILES;CALLE 2 N° 3-27;URBANA;yrakateorama1@hotmail.com;NO APLICA;Programas sociales del estado /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA /;Independiente /;SI;03/17/2021 12:00:00 AM;FAVORABLE CON REQUERIMIENTOS;SI
2646;2/08/2022 0:00;NORTE DE SANTANDER;TEORAMA;54;800;FUNDACION HOGAR QUE SOÑE SAN ANTONIO DE PADUA;CARRERA 4 # 5-10 CENTRO;URBANA;no registra;NO APLICA;Programas sociales del estado /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA /;Independiente /;SI;11/03/2021 0:00;FAVORABLE CON REQUERIMIENTOS;SI
2489;2/09/2022 0:00;NORTE DE SANTANDER;LOS PATIOS;54;405;PANADERIA EL MANJAR DEL PAN S.A.S.;AV 10 MZ 0 LOTE 17 BRR LA CAMPIÑA;URBANA;panaderiaelmanjardelpansas@gmail.com;Panadería y/o Pastelería /;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;Independiente /;SI;2/09/2022 0:00;FAVORABLE;SI
2457;2/10/2022 0:00;NORTE DE SANTANDER;LOS PATIOS;54;405;ESTADERO MI RANCHITO LLANITOS;AVENIDA 9 13AS-11 LLANITOS;URBANA;neftalininvar@gmail.com;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;Sin tipo de establecimiento /;NO APLICA;NO APLICA;NO APLICA;SI;2/10/2022 0:00;FAVORABLE;SI
